code,term,display,component,property,time,system,scale,method
4548-4,hemoglobin a1c,Hemoglobin A1c/Hemoglobin.total in Blood,Hemoglobin A1c,MFr,Pt,Bld,Qn,
85354-9,blood pressure,Blood pressure panel with all children optional,BP,Pres,Pt,Sys,Qn,
2093-3,cholesterol,Cholesterol [Mass/volume] in Serum or Plasma,Cholesterol,MCnc,Pt,Ser/Plas,Qn,
2160-0,creatinine,Creatinine [Mass/volume] in Serum or Plasma,Creatinine,MCnc,Pt,Ser/Plas,Qn,
2339-0,glucose,Glucose [Mass/volume] in Blood,Glucose,MCnc,Pt,Bld,Qn,
2571-8,triglycerides,Triglyceride [Mass/volume] in Serum or Plasma,Triglyceride,MCnc,Pt,Ser/Plas,Qn,
3094-0,urea nitrogen,Urea nitrogen [Mass/volume] in Serum or Plasma,BUN,MCnc,Pt,Ser/Plas,Qn,
2823-3,potassium,Potassium [Moles/volume] in Serum or Plasma,Potassium,SCnc,Pt,Ser/Plas,Qn,
2951-2,sodium,Sodium [Moles/volume] in Serum or Plasma,Sodium,SCnc,Pt,Ser/Plas,Qn,
2075-0,chloride,Chloride [Moles/volume] in Serum or Plasma,Chloride,SCnc,Pt,Ser/Plas,Qn,
2345-7,glucose,Glucose [Mass/volume] in Serum or Plasma,Glucose,MCnc,Pt,Ser/Plas,Qn,
26515-7,platelet count,Platelets [#/volume] in Blood,Platelets,NCnc,Pt,Bld,Qn,
26464-8,leukocyte count,Leukocytes [#/volume] in Blood,WBC,NCnc,Pt,Bld,Qn,
718-7,hemoglobin,Hemoglobin [Mass/volume] in Blood,Hemoglobin,MCnc,Pt,Bld,Qn,
4544-3,hematocrit,Hematocrit [Volume Fraction] of Blood,Hematocrit,VFr,Pt,Bld,Qn,
788-0,erythrocyte count,Erythrocytes [#/volume] in Blood,RBC,NCnc,Pt,Bld,Qn,
17861-6,calcium,Calcium [Mass/volume] in Serum or Plasma,Calcium,MCnc,Pt,Ser/Plas,Qn,
1920-8,aspartate aminotransferase,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,AST,CCnc,Pt,Ser/Plas,Qn,
1742-6,alanine aminotransferase,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,ALT,CCnc,Pt,Ser/Plas,Qn,
1975-2,bilirubin total,Bilirubin.total [Mass/volume] in Serum or Plasma,Total bilirubin,MCnc,Pt,Ser/Plas,Qn,
2458-8,igg,IgG [Mass/volume] in Serum,IgG,MCnc,Pt,Ser,Qn,
6690-2,leukocyte common antigen,Cells.CD45 [#/volume] in Blood,CD45,NCnc,Pt,Bld,Qn,
