code,term,display,tty,is_active
6809,metformin,metformin,IN,1
29046,lisinopril,lisinopril,IN,1
1191,aspirin,aspirin,IN,1
83367,atorvastatin,atorvastatin,IN,1
10582,levothyroxine,levothyroxine,IN,1
4053,amlodipine,amlodipine,IN,1
11170,losartan,losartan,IN,1
4337,atenolol,atenolol,IN,1
3356,acetaminophen,acetaminophen,IN,1
6960,morphine,morphine,IN,1
161,acetylsalicylic acid,acetylsalicylic acid,SY,1
56360,rosuvastatin,rosuvastatin,IN,1
42316,simvastatin,simvastatin,IN,1
35296,sertraline,sertraline,IN,1
8299,paroxetine,paroxetine,IN,1
58927,venlafaxine,venlafaxine,IN,1
58147,pantoprazole,pantoprazole,IN,1
36567,omeprazole,omeprazole,IN,1
73494,dexlansoprazole,dexlansoprazole,IN,1
153165,esomeprazole,esomeprazole,IN,1
2244,amoxicillin,amoxicillin,IN,1
10312,levofloxacin,levofloxacin,IN,1
89522,cephalexin,cephalexin,IN,1
1739,azithromycin,azithromycin,IN,1
4337,atenolol,atenolol,IN,1
6135,metoprolol,metoprolol,IN,1
58927,venlafaxine,venlafaxine,IN,1
321988,eszopiclone,eszopiclone,IN,1
2551,alprazolam,alprazolam,IN,1
9997,lorazepam,lorazepam,IN,1
32968,prednisone,prednisone,IN,1
7052,methylprednisolone,methylprednisolone,IN,1
6373,montelukast,montelukast,IN,1
69749,fluticasone,fluticasone,IN,1
3264,albuterol,albuterol,IN,1
